sourcenotation;sourcelabel;targetnotation
154.774;Posthypnotic phenomena;
155;Differential and developmental psychology;BT 5450
155;;BU 8200
155;;CQ
155;;CQ 5500
155;;YQ 7300
155.2;Individual psychology;CR
155.2;		;CR 1000
155.2;			;CR 4000
155.20287;Testing and measurement;
155.22;Individual differences;
155.23;Traits and determinants of character and personality;CR 7000
155.232;Traits;
155.234;Determinants;
155.24;Adaptability and adjustment;MR 6050
155.25;Development and modification of character and personality;BT 5420
155.26;Typology;
155.262;Classical typology (Hippocrates' theory of temperaments);CR 4000
155.264;Modern typology;
155.2644;Typology of Jung;
155.28;Appraisals and tests;
155.282;Diagnostic graphology;
155.283;Inventories and questionnaires;CS 2000
155.283;	;CT 7000
155.283;	;CT 8500
155.283;	;MR 2500
155.284;Projective techniques;
155.2842;Rorschach tests;
155.2843;Szondi tests;
155.2844;Thematic apperception tests;
155.3;Sex psychology, psychology of people by gender or sex, by sexual orientation;CR 6000
155.31;Erogeneity and libido;
155.32;Sex and personality;
155.33;Psychology of people by gender or sex;MS 2850
155.332;Men;WT 3260
155.33224;Emotions--men, ...;
155.3323;Cognitive psychology--men, ...;
155.33282;Individual psychology--men, ...;
155.3329;Applied psychology--men, ...;
155.333;Women;WT 3255
155.33324;Emotions--women, ...;
155.3333;Cognitive psychology--women, ...;
155.33382;Individual psychology--women, ...;
155.3339;Applied psychology--women, ...;
155.334;Bisexuality;MS 2870
155.34;Psychology of people by sexual orientation;MS 2870
155.343;Bisexuals;MS 2870
155.344;Gays;YH 8800 - YH 8899
155.3441;General topics of psychology of gays;
155.3442;Gay men;
155.3443;Lesbians;
155.35;Sexual practices;
155.4;Child psychology;CQ 6000
155.4;		;YQ 7200
155.4-155.6;Psychology of specific ages;
155.4081;People by gender or sex;
155.4082;Women;
155.4083;Young people;CQ 6000
155.4085;Relatives;
155.40855;Siblings;
155.4086;People by miscellaneous social attributes;
155.40862;People by social and economic levels;
155.4087;People with disabilities and illnesses, gifted people
155.4089;Ethnic and national groups;
155.41;General topics of child psychology;
155.4124;Disappointment in children, ...;
155.41241;Empathy in children, ...;
155.41242;Joy--children, ...;
155.41244;Guilt--children, ...;
155.41246;Fear--children, ...;
155.413;Cognitive development--child psychology, ...;
155.41315;Learning--children, ...;
155.4134;Magical thinking in children, ...;
155.4138;Drives (Psychology)--children, ...;
155.41383;Choice--children, ...;
155.4182;Character--child psychology, ...;
155.418232;Introversion in children, ...;
155.41824;Adaptability--children, ...;
