uri,created,toNotation,fromNotation,type
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637938,2024-10-30,800138096,7849470-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637946,2024-10-30,800145605,4307841-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637954,2024-10-30,800150365,4255369-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637962,2024-10-30,800154522,4517635-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637970,2024-10-30,800172980,4835148-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637989,2024-10-30,800180122,4270920-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637997,2024-10-30,800182392,1064921124,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638004,2024-10-30,800190485,4619834-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638012,2024-10-30,800193377,4395467-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638020,2024-10-30,800204060,4131647-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638039,2024-10-30,800211430,4832769-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638047,2024-10-30,800218769,4576278-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638055,2024-10-30,800219183,4491249-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638063,2024-10-30,800237599,4424861-1,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638071,2024-10-30,800242812,4158623-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134663808X,2024-10-30,800251687,4825606-7,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638098,2024-10-30,800258054,1312171391,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638101,2024-10-30,800281008,1153580535,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134663811X,2024-10-30,800288224,7606667-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638128,2024-10-30,800295565,4381676-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638136,2024-10-30,800321610,4239252-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638144,2024-10-30,800324171,4113487-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638152,2024-10-30,800326850,4455792-9,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638160,2024-10-30,800332157,4189614-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638179,2024-10-30,800332906,7562201-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638187,2024-10-30,800337008,4171238-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638195,2024-10-30,800352512,4562100-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638209,2024-10-30,800359723,4156629-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638217,2024-10-30,800360015,4639198-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638225,2024-10-30,800364206,7708963-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638233,2024-10-30,800372490,1135639957,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638241,2024-10-30,800416035,4798906-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134663825X,2024-10-30,800419064,4172461-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638268,2024-10-30,800441621,4474345-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638276,2024-10-30,800446124,4202085-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638284,2024-10-30,800454569,4486970-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638292,2024-10-30,800456153,4243056-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638306,2024-10-30,800465622,4291671-9,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638314,2024-10-30,800466515,4178976-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638322,2024-10-30,800466635,1112158820,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638330,2024-10-30,800481966,7582996-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638349,2024-10-30,800490757,4207363-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346638357,2024-10-30,800493782,1317215877,=
