fromNotation;x;y;z;toNotation
WF 9840;50;4;50;571.96157
WF 9841;100;1;100;571.96157
WF 9842;100;1;100;571.96154
WF 9843;100;1;100;571.96153
WF 9844;50;4;50;571.96123
WF 9844;50;3;100;571.9614
WF 9845;25;3;100;571.961238
WF 9845;50;3;100;571.96138
WF 9845;50;3;100;571.96139
WF 9846;100;1;100;571.9616
WF 9847;100;1;100;571.9617
WF 9848;100;1;100;571.96178
WF 9849;100;1;100;571.96179
WF 9850;100;1;100;571.9618
WF 9851;100;1;100;571.9619
WF 9852;100;1;100;571.96192
WF 9853;50;3;100;571.961933
WF 9853;50;3;100;571.96194
WF 9854;100;1;100;571.96197
WF 9855;50;3;100;571.96195
WF 9855;50;3;100;571.9619633
WF 9856;100;1;100;571.96196
WF 9857;25;4;50;571.961931
WF 9857;25;3;100;571.961955
WF 9857;25;3;100;571.961967
WF 9857;25;3;100;571.961968
WF 9858;50;4;50;571.961931
WF 9858;50;3;100;571.961935
WF 9859;100;1;100;571.96198
WF 9860;100;2;50;571.96
WF 9870;100;2;50;571.968
WF 9870;100;1;100;571.9685
WF 9880;100;1;100;571.967
WF 9890;100;2;50;571.96
WF 9895;100;1;100;571.966
WF 9900;100;2;50;571.967
WF 9900;100;1;100;571.9677
WF 9910;100;1;100;571.964
WF 9920;100;2;25;571.96
WG;100;1;100;576.5
WG 1000 - WG 1099;100;2;50;576.5
WG 1000 - WG 1099;50;3;100;576.507
WG 1100 - WG 1199;100;2;25;576.5
WG 1200 - WG 1210;100;2;25;576.5
WG 1300;100;2;25;576.5
WG 1350;50;4;50;576.509
WG 1400;100;1;100;576.52
WG 1500;100;2;50;576.501
WG 1600;50;4;25;576.501
