sourcenotation;targetnotation
343.7304; PP 8675
343.73052; PP 8675
343.73053; PP 8675
343.730721; PU 5000 - PU 5460
343.730815; PU 5440
343.730994; PN 991
343.730994; PN 684
344; PF
344; QV 700
344; PQ
344; PS 3890
344; PS 3920 
344; PN 892 - PN 939
344.01; PF
344.0112042; PQ 3700 - PQ 3780
344.0112042; QV 200
344.01133; PV 600 - PV 665
344.012; PF 500 - PF 570
344.012; PF 910 - PF 990
344.0121; PF 320 - PF 327
344.012153; PF 930
344.012153; PS 3920
344.0125; CW 3000
344.01252; PF 414
344.012576; PF 416
344.0125924; PF 331
344.0125924; QV 240
344.0125924; QP 370
344.012596; PF 381
344.0131; PF 500 - PF 570
344.01347; PF 500 - PF 570
344.01347; PF 540
344.01398133; PF 500 - PF 570 
344.014133; PF 500 - PF 570 
344.015; PQ 3400 - PQ 4900
344.0153; PF 520 - PF 570
344.0159; PF 260 - PF 269 
344.016; PF 300 - PF 570
344.0162; PF 300 - PF 570     
344.0162; PF 990
344.0162; PF 910 - PF 990
344.017; PF 342
344.0176134; PF 820
344.017613613; QV 000
344.017613613; PD 8040
344.017613613; PF 419
344.0188; PF 611
344.0188; PF 615
344.0188; PE 482
344.018896; PF 615
344.018896; PF 980
344.0189; PN 291
344.0189; PF 620 - PF 621
344.0189; PF 411
344.0189143; PF 820
344.01892; QV 600
344.01892; PF 630
344.018923; PF 630
344.0189281364; PF 640
344.0189281364; QV 600
344.01893; PF 630
344.01894; PF PF 640
344.01894; PQ PF 500 - PF 570
344.02; PQ 3000 - PQ 4900
344.021; PQ 3600 - PQ 3680
344.0217; PN 702 - PN 739
344.0224; PF 530
344.0218; PQ 3600 - PQ 3680
344.0226; PQ 3600 - PQ 3680                                                                               
344.0224; PF 530
344.0224; PQ 3600 - PQ 3680 
344.0226; PQ 3300 - PQ 3380
344.0226; PQ 3400 - PQ 3480
344.023; PQ 3700 - PQ 3780
344.023; PQ 3700 - PQ 3780
344.024; QX 600
344.024; QX 400 
344.024; PN 765
344.024; PU 1546
344.024; PS 3820
344.024; PQ 3700 - PQ 3740
344.028; PE 530
344.028; PN 430
344.03; PQ 5200 - PQ 5280
344.03; PQ 5270
344.03; MS 6470
344.031; PQ 5280
344.03102; PQ 5200 - PQ 5280
344.03105; PQ 5200 - PQ 5280
344.0316; PQ 
344.03202; ------------
