fromNotation;sourcepreflabel;toNotation;targetpreflabel
025.26;Erwerbung durch Tausch, Schenkung, Pflichtexemplare;AN 71500;Tausch
025.26;Erwerbung durch Tausch, Schenkung, Pflichtexemplare;AN 71800;Geschenk
025.26;Erwerbung durch Tausch, Schenkung, Pflichtexemplare;AN 71600;Pflichtexemplare
025.27-025.29;Erwerbung und Bestandsentwicklung für einzelne Arten von Materialien;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
025.27;Erwerbung und Bestandsentwicklung für fachgebiets- und themenspezifische Materialien;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
025.28;Erwerbung und Bestandsentwicklung für Sonderformen;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
025.28;Erwerbung und Bestandsentwicklung für Sonderformen;AN 71900;Sonderfüragen
252.814;Archivalien-Erwerbung in Bibliotheken;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
252.832;Fortlaufende Sammelwerke-Erwerbung in Bibliotheken;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines 
025.284;Elektronische Ressourcen-Erwerbung in Bibliotheken;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines 
025.29;Erwerbung und Bestandsentwicklung für Materialien nach geografischen Gebieten;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines 
025.291724;Publikationen aus EntwicklungsLändern-Erwerbung in Bibliotheken;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
025.3;Bibliografische Analyse und Kontrolle;AN 95000;Bibliographische Erfassung, Suchpraxis 
025.30285;Datenverarbeitung Computereinsatz;AN 73000;Datenverarbeitung: Allgemeines 
025.30285572;Einsatz zur Datenaufbereitung und Datenpräsentation, von Datenformaten;AN 73000;Datenverarbeitung: Allgemeines
025.30285574;Einsatz von Computerdateien und Datenbanken;AN 73000;Datenverarbeitung: Allgemeines
025.302855741;Einsatz von Dateiorganisation und Dateizugriffsverfahren;AN 73000;Datenverarbeitung: Allgemeines
025.31;Katalog;AN 74000;Kataloge, Katalogisierung: Allgemeines
025.313;Form;AN 74100;Kataloge nach der technischen Einrichtung
253.132;Online-Kataloge;AN 74190;Elektronische Kataloge, Online-Kataloge 
025.315;Struktur;AN 74000;Kataloge, Katalogisierung: Allgemeines
025.316;Maschinenlesbare Katalogdatenformate;AN 74180;Kataloge in Mikroform
025.317;Konvertierung und Datenhaltung;AN 74000;Kataloge, Katalogisierung: Allgemeines
253.173;Retrospektive Konvertierung;AN 74000;Kataloge, Katalogisierung: Allgemeines
253.177;Sortierung, Ordnung, Ablage;AN 74000;Kataloge, Katalogisierung: Allgemeines
025.32;Formalkatalogisierung;AN 74300;Alphabetischer Formal-Katalog
025.322;Bestimmung der Ansetzungsform und Art der Eintragung;AN 74300;Alphabetischer Formal-Katalog
253.222;Normdateien;AN 74300;Alphabetischer Formal-Katalog
025.324;Bibliografische Beschreibung;AN 74300;Alphabetischer Formal-Katalog
025.324;Bibliografische Beschreibung;AN 95000;Bibliographische Erfassung, Suchpraxis
025.34;Katalogisierung, Klassifizierung, Indexierung von Sonderformen;AN 74800;Katalogisierung von Sonderbeständen (Medien)
025.341;Handschriften, Archivalien, Rara;AN 74800;Katalogisierung von Sonderbeständen (Medien)
253.412;Handschriften;AN 74800;Katalogisierung von Sonderbeständen (Medien) 
253.412;Handschriften;AM 46800;Handschriftenarten und Handschriftenbeschreibung: Katalogisierung und Katalogisierungsregeln
253.414;Archivalien;AN 74800;Katalogisierung von Sonderbeständen (Medien)
253.414;Archivalien;AN 78950;Einzelne Publikationsformen
253.416;Rara;AN 74800;Katalogisierung von Sonderbeständen (Medien)
253.416;Rara;AN 78850;Rara
025.342;Zeitungsausschnitte, Flugschriften, Broschüren;AN 74800;Katalogisierung von Sonderbeständen (Medien) 
025.342;Zeitungsausschnitte, Flugschriften, Broschüren;AN 78950;Einzelne Publikationsformen
025.343;Fortlaufende Sammelwerke, Amtsdruckschriften, Forschungsliteratur;AN 74800;Katalogisierung von Sonderbeständen (Medien)
025.343;Fortlaufende Sammelwerke, Amtsdruckschriften, Forschungsliteratur;AN 78950;Einzelne Publikationsformen
253.432;Fortlaufende Sammelwerke;AN 74800;Katalogisierung von Sonderbeständen (Medien) 
253.432;Fortlaufende Sammelwerke;AN 78950;Einzelne Publikationsformen
253.434;Amtsdruckschriften;AN 74800;Katalogisierung von Sonderbeständen (Medien)
253.434;Amtsdruckschriften;AN 78950;Einzelne Publikationsformen
253.436;Forschungsliteratur;AN 74800;Katalogisierung von Sonderbeständen (Medien)
253.436;Forschungsliteratur;AN 78950;Einzelne Publikationsformen
025.344;Elektronische Ressourcen;AN 74800;Katalogisierung von Sonderbeständen (Medien) 
025.344;Elektronische Ressourcen;AN 78950;Einzelne Publikationsformen
025.346;Karten, Atlanten, Globen;AN 74800;Katalogisierung von Sonderbeständen (Medien)
025.346;Karten, Atlanten, Globen;AN 78950;Einzelne Publikationsformen
025.347;Abbildungen und Materialien zu Projektionszwecken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
;;;
253.471;Bilder und Drucke;AN 74800;Katalogisierung von Sonderbeständen (Medien)
253.471;Bilder und Drucke;AN 78900;Auditive und audiovisuelle Medien
253.473;Filme, Dias, Videoaufzeichnungen;AN 74800;Katalogisierung von Sonderbeständen (Medien)  
253.473;Filme, Dias, Videoaufzeichnungen;AN 78900;Auditive und audiovisuelle Medien
025.348;Tonaufzeichnungen und Partituren;AN 74800;Katalogisierung von Sonderbeständen (Medien)
025.348;Tonaufzeichnungen und Partituren;AN 78900;Auditive und audiovisuelle Medien
253.482;Tonaufzeichnungen;AN 74800;Katalogisierung von Sonderbeständen (Medien)
253.482;Tonaufzeichnungen;AN 78900;Auditive und audiovisuelle Medien
253.488;Partituren;AN 74800;Katalogisierung von Sonderbeständen (Medien)  
253.488;Partituren;AN 78900;Auditive und audiovisuelle Medien
025.349;Andere Sonderformen;AN 74800;Katalogisierung von Sonderbeständen (Medien)
025.349;Andere Sonderformen;AN 78950;Einzelne Publikationsformen
253.492;Publikationen in erhabenen Schriften;AN 74800;Katalogisierung von Sonderbeständen (Medien)
253.492;Publikationen in erhabenen Schriften;AN 78950;Einzelne Publikationsformen
253.494;Mikroformen;AN 74800;Katalogisierung von Sonderbeständen (Medien)
253.494;Mikroformen;AN 78950 Einzelne;AN 78950 Einzelne Publikationsformen
253.496;Spiele, Medienpakete, Modelle, Spielzeug;AN 74800;Katalogisierung von Sonderbeständen (Medien)
253.496;Spiele, Medienpakete, Modelle, Spielzeug;AN 78950;Einzelne Publikationsformen
025.35;Kooperative Sacherschlie ung;AN 75000;Sacherschließung in Bibliotheken: Allgemeines
025.39;Rekatalogisierung, Umsystematisierung, Re-Indexierung;AN 74000;Kataloge, Katalogisierung: Allgemeines 
025.393;Rekatalogisierung;AN 74000;Kataloge, Katalogisierung: Allgemeines
025.396;Umsystematisierung;AN 74000;Kataloge, Katalogisierung: Allgemeines
025.4;Inhaltsanalyse und thematische Kontrolle;AN 95500;Sacherschließung
254.028;Abstractingverfahren;unterstützende Techniken und Verfahren;Geräte, Ausstattung, Materialien
025.42;Klassifikation und Signaturenvergabe;AN 72100;Signaturenvergabe
025.428;Signaturenvergabe;AN 72100;Signaturenvergabe
025.43;Universalklassifikationssysteme;AN 93750;Sonstige universelle Systeme
025.431;Dewey-Dezimalklassifikation;AN 93550;Dewey-Dezimalklassifikation
025.432;Internationale Dezimalklassifikation;AN 93600;Dezimalklassifikation
025.433;Library of Congress Classification;AN 93650;Library of Congress-Classification
025.434;Bliss Bibliographic Classification;AN 93750;Sonstige universelle Systeme
025.435;Colon-Klassifikation;AN 93750;Sonstige universelle Systeme 
025.46;Fachgebiets- und themenspezifische Klassifikation;AN 93800;Fachlich begrenzte Systeme
025.47;Sachkatalogisierung;AN 75000;Sacherschließung in Bibliotheken: Allgemeines
025.48;Schlagwortindexierung;AN 95100;Referieren, Klassifizieren, Indexieren
025.482;Präkoordinierte Indexierung;AN 95100;Referieren, Klassifizieren, Indexieren
025.484;Gleichordnende und postkoordinierte Indexierung;AN 95100;Referieren, Klassifizieren, Indexieren
025.486;Titelindexierung;AN 95100;Referieren, Klassifizieren, Indexieren
025.49;Kontrollierte Fachvokabularien;AN 75400;Schlagwortregeln, Schlagwortverzeichnis
025.49001-025.49999;Fach- und themenspezifische Vokabularien;AN 75400;Schlagwortregeln, Schlagwortverzeichnis
025.49001-025.49999;Fach- und themenspezifische Vokabularien;AN 75200;Einzelne Systeme
025.5;Dienstleistungen für Benutzer;AN 70300;Bibliotheksorganisation und -betrieb, Rationalisierung, Zentrale Dienstleistungen
255.019;Bibliotheksdienstleistungen-psychologische Aspekte;AN 70300;Bibliotheksorganisation und -betrieb, Rationalisierung, Zentrale Dienstleistungen
025.50285;Publikumsdienstleistungen-Bibliotheken-Computereinsatz;AN 70300;Bibliotheksorganisation und -betrieb, Rationalisierung, Zentrale Dienstleistungen
025.5092;Bibliotheksbenutzer;AN 77500;Bibliotheksbenutzer, Benutzerforschung, Benutzeranalyse
025.52;Auskunfts- und Informationsdienst;AN 76400;Auskunft, Information
025.52;Auskunfts- und Informationsdienst;AN 96200;Auskunft und Beratung
025.52;Auskunfts- und Informationsdienst;AN 96300;Wissensverbreitung, Informationsflu 
025.523;Kooperativer Informationsdienst;AN 76400;Auskunft, Information 
025.523;Kooperativer Informationsdienst;AN 96200;Auskunft und Beratung
025.523;Kooperativer Informationsdienst;AN 96300;Wissensverbreitung, Informationsflu 
025.524;Informationssuche und Information Retrieval;AN 76400;Auskunft, Information
025.524;Informationssuche und Information Retrieval;AN 96200;Auskunft und Beratung
025.524;Informationssuche und Information Retrieval;AN 96500;Informationsbedarf
025.525;Selective dissemination of information (SDI);AN 76400;Auskunft, Information
025.525;Selective dissemination of information (SDI);AN 96200;Auskunft und Beratung
025.527;Auskunfts- und Informationsdienst in einzelnen Arten von Einrichtungen;AN 76400;Auskunft, Information
025.527;Auskunfts- und Informationsdienst in einzelnen Arten von Einrichtungen;AN 96200;Auskunft und Beratung
